Numero agrement,SIRET,Raison Sociale,Adresse,Code Postal,Commune,AVL,AOD,AGE,AFE,DMG,CLA,CRE,COQ,CCC,DVV,DGS,DVB,DVG,EOE,ENT,EMG,GCO,GCH,GSA,GAF,OPR,PEC,BOY,GRE,LPL,PVI,VHA,OLI,PBV,VSM
10.034.001,50141219100014,BERTHOLLE LACOUR DISTRIBUTION,17 FG DE BOURGOGNE,10110,BAR SUR SEINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.047.001,71288008700010,SOCIETE ANDRE LAURENT, ,10500,BLIGNICOURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.064.001,78839787500071,GUILLEMINOT PERE ET FILS,28 ET 30 28 RUE JEAN JAURES,10500,BRIENNE LE CHATEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.078.001,35232022000010,EARL DU CHAMP ROY,0,10140,CHAMP SUR BARSE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10.080.001,40320798800029,FROMAGERIE DE MUSSY SUR SEINE,RTE DE MAISONS LES CHAOURCE,10210,CHAOURCE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10.095.001,58288022500047,HUGUIER FRERES,LA RACCROCHE,10700,LE CHENE,,,,,,,,,,1,,1,1,,,,,,,,,,,,,1,1,,,
10.140.001,39398592400017,GAEC DES TOURELLES,LE MESNIL SAINT GEORGES HAMEAU DE MESNIL ST GEORGE,10130,ERVY LE CHATEL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10.181.001,68288091900019,SALAISONS LA CHAMPENOISE,11 RUE DE LA FONTAINE ST LOUIS,10260,JULLY SUR SARCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.216.001,58288022500013,HUGUIER FRERES,70 RUE GENERAL DE GAULLE,10230,MAILLY LE CAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.273.001,53005399000012,LES OEUFS DU PRIEURE,1 RUE SAINT ETIENNE,10700,ARCIS SUR AUBE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
10.283.007,34104277800025,EARL DE LA BERGERIE,MR FRANCOIS XAVIER TAUPIN 2 GRANDE RUE DE DER,10500,PEL ET DER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.297.001,34883247800013,AT FRANCE,Z I DES ECREVOLLES AV DES TIRVERTS,10150,PONT SAINTE MARIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.297.002,34278943500019,SA COOP INTERET COLLECTIF ABATTOIR AUB,4 LES TIRVERTS,10150,PONT SAINTE MARIE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.297.003,79829431000015,SDH,13 AV JEAN JAURES,10150,PONT SAINTE MARIE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
10.297.005,39430573400011,ASS GESTIO CFA INTERPROF PONT STE MARI,9 RUE ROBERT KELLER,10150,PONT SAINTE MARIE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
10.323.001,50140041000012,LEONI VIANDES,282 RUE GABRIEL PERI,10100,ROMILLY SUR SEINE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
10.325.051,18510200100277,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - RESTAURANT UNIVERSITAIRE LES LOMBARDS,RUE LOUIS FRANCOIS ARMAND,10430,ROSIERES PRES TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.333.104,33956422100028,POLYCLINIQUE DES URSULINES,17 RUE BALTET,10120,SAINT ANDRE LES VERGERS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.340.001,41505369300016,SCEA CHATELAIN,LEPINE 67 RUE DE L'ECOLE,10120,SAINT GERMAIN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.343.050,13000484900019,GIP LOGISTIQUE INTERHOSPITALIER AUBE,CTRE HOSPITALIER 101 AV ANATOLE FRANCE,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.357.001,39931561300741,METRO CASH & CARRY FRANCE,LES TERRASSES DE BAIRES,10410,SAINT PARRES AUX TERTRES,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,
10.357.050,77555526100301,APEI DE L'AUBE - CAT LE TERTRE AS,29 B AV MARTYRS DE LA RESISTANCE,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.362.003,41433740200047,SAVIEL FRANCE,PARC D ACTIVITES RUE SAVIPOL A,10300,SAINTE SAVINE,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,
10.362.004,41940641800014,THIERRY DANIEL CHARCUTIER TRAITEUR,73 AV GEN GALLIENI,10300,SAINTE SAVINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10.381.001,50770877400025,GJ SERVICE FROID,RUE DES BASSES TERRES,10440,TORVILLIERS,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10.381.002,47718101001149,API RESTAURATION - API RESTAURATION,ZONE INDUSTRIELLE RUE JEAN COLAS,10440,TORVILLIERS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.387.002,77555526100103,APEI DE L'AUBE - CAT SELF LA FONTAINE,RUE PIERRE GERDY,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.387.051,66202519642261,ELRES - (8424 CODE INTERNE),TROYES ADMINISTRATION 11 RUE CHARLES THIBAULT,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.387.053,66202519628120,ELRES - COLLEGE ST PIERRE,6 RUE DE L ISLE,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.387.055,38398762500027,CRAMA DU NORD EST - GROUPAMA,2 B RUE JEANNE D ARC,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.387.057,78034849600016,ASS D'EDUCATION FEMININE DES TAUXELLES,5 RUE ETIENNE PEDRON,10000,TROYES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.399.001,48005729800014,NOUVELLE FROMAGERIE DE VAUDES,GRANDE RUE,10260,VAUDES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10.401.051,77555526100053,APEI DE L'AUBE - INTERNAT MEDICO EDUCATIF L'EVEIL,40 RUE GRANDE,10140,VENDEUVRE SUR BARSE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
10.419.001,40421245800024,CUISINES AND CO - CAFFE COSI,32 RTE MARCELLIN LEVEQUE,10260,VILLEMOYENNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.005.008,44853732400015,DOMININ FLORE MARIE OLIVIA,CANTALOUP,11290,ALAIRAC,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11.009.001,40233731500038,EURL BOUCHERIE CHARCUTERIE BAREIL,RN 113 - FONTORBE,11170,ALZONNE,,,,,,,,,,1,,1,1,,,,,,,,,,,,,1,1,,1,
11.018.001,35153821000029,VEYRES JEAN LOUIS,32 RUE DES ECOLES,11290,ARZENS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11.026.001,49472657300012,SARL GUAGNO - SARL GUAGNO,CHEMIN DU MOULIN,11410,BARAIGNE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
11.033.006,40501178400015,SALUTE JEAN-CLAUDE SERGE,LABASTIDE COULOUMAT DNE DE BACQUIE,11420,BELPECH,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.034.001,33528031900021,REVEL ERIC PAUL ALBERT,33 AV DE L'HOTEL DE VILLE,11240,BELVEZE DU RAZES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.036.001,40501199000018,BRAEKEVELT RUDI JOHAN,0,11340,BELVIS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.041.001,44300443700010,GAEC DE COMBEBELLE,DOMAINE DE COMBEBELLE DOMAINE DE COMBEBELLE,11120,BIZE MINERVOIS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.048.101,41857956100014,BOUSSIEUX NATHALIE,GASPARETS RUE DU MOULIN A VENT,11200,BOUTENAC,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11.049.013,38440682300102,MERICQ,Z.A. DE ROUZILLES,11150,BRAM,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.049.014,34477087000048,NEXIRA,PARC TECHNOLOGIQUE DU LAURAGAIS 1 AV DE PREUILHE,11150,BRAM,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
11.055.007,47987895100025,BIBBEAU VINCENT SYLVAIN,LES GASCOUS LE SOULA DE LA HILLE,11190,BUGARACH,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.069.002,35173221900016,SA THIERRY BEURON,ZI LA BOURIETTE RTE DE MAQUENS BP 1020,11000,CARCASSONNE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.069.006,78008462000027,COOP ARTISANAL METIERS VIANDE DE L'AUD,Z A L'ARNOUZETTE RUE MICHAEL FARADAY,11000,CARCASSONNE,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,
11.069.008,79585015500511,BIGARD DISTRIBUTION,ZI L'ARNOUZETTE RUE SAMUEL MORSE,11000,CARCASSONNE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
11.069.009,45005915900019,BOUCHERIE IZARD,27 AV DU PDT FRANKLIN ROOSEVELT,11000,CARCASSONNE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
11.069.011,49540548200011,OC'REZTO PARTNER - PROMOCASH AVEC VOUS,ZA SALVAZA RUE GUSTAVE EIFFEL,11000,CARCASSONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.069.016,33816845300029,SARL RAMON JEAN,Z.A. ARNOUZETTE RUE ROBERT FULTON,11000,CARCASSONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.069.038,21110069800649,COMMUNE DE CARCASSONNE - CUISINE CENTRALE,MAIRIE 32 RUE AIME RAMOND,11835,CARCASSONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.069.041,19110037900012,COLLEGE EMILE ALAIN,RUE EMILE ALAIN BP N?1068,11000,CARCASSONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.069.042,45295021500015,BTT,ZI LA BOURIETTE CHE DE MAQUENS,11000,CARCASSONNE,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
11.069.066,43527095400017,RIGAILL JC,ZA SALVAZA RUE LOUIS GUYTON,11000,CARCASSONNE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.069.08,79585015500511,BIGARD DISTRIBUTION,ZI L'ARNOUZETTE RUE SAMUEL MORSE,11000,CARCASSONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.076.006,64195008400054,CONSERVERIE DU LANGUEDOC - LA BELLE CHAURIENNE,75 RUE PAUL SABATIER BP1356,11493,CASTELNAUDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.076.007,31248021300023,SO DI CAS,Z.I. D'EN TOURRE RUE HENRI BECQUEREL,11400,CASTELNAUDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.076.008,31340336200012,MAISON ESCOURROU,30 RUE DE DUNKERQUE,11400,CASTELNAUDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.076.009,34984417500019,SOCIETE RIVIERE,ZI ENTOURRE 57 AV FREDERIC PASSY,11400,CASTELNAUDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.076.024,79428541100011,LAURAGAISE VIANDES PLATS CUISINES,AV DU DR GUILHEM,11400,CASTELNAUDARY,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,
11.076.029,79405975800019,L'AUDOISE DES VIANDES,LOCAL 6 17 RUE DU 18 JUIN 1940,11400,CASTELNAUDARY,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
11.076.060,79428541100029,LAURAGAISE VIANDES PLATS CUISINES,2 RUE HENRI BECQUEREL,11400,CASTELNAUDARY,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.076.068,47807464400012,SARL LE COUSTELOUS,90 AV MONSEIGNEUR DE LANGLE,11400,CASTELNAUDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.099.003,66185014900013,CHATEAU DE LA VERNEDE - KORIAN LA VERNEDE,CENTRE REPOS MONTAGNE NOIR,11600,CONQUES SUR ORBIEL,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.103.002,47937608900013,BERGE JACQUES,RUE DU PARC,11190,COUIZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.103.007,41817815800022,ATELIER DE DECOUPE,LIEU DIT PASTABRAC,11190,COUIZA,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1,
11.113.001,51058928600010,CORLEY GAELLE - CORLEY,LE BOURDICOU,11350,CUCUGNAN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.115.002,19110721800015,COLLEGE ANTOINE COURRIERE,BERTRANDE,11390,CUXAC CABARDES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.116.003,77581701800044,ASS NARB DE SOUTIEN A L'EPAN ET INSERT,3 AV CHARLES DE GAULLE,11590,CUXAC D'AUDE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.122.002,32778441900019,ENTREPRISE CABANES,LD LA MONDIERE,11700,DOUZENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.127.004,43134649300015,EARL CUCUILLERE,LE VILLAGE,11140,ESCOULOUBRE,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,
11.129.002,49383954200013,SARL CHEZ CHARLY,11 RUE VICTOR HUGO,11260,ESPERAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.133.001,51205075800014,BOUETTE MATTHIEU BENJAMIN POKI -FROMAGES DE CHEVRES BOUETTE,LES GENEVRIERES,11220,FAJAC EN VAL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.150.004,32794996200028,PRADAL FRANCIS GERARD,4 B ALL DU STADE,11390,FONTIERS CABARDES,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
11.159.002,45252737700017,WALDESBUHL RUTH BEATRICE,CALAS,11270,GAJA LA SELVE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.162.001,34129766100033,VIDAL VERONIQUE, ,11270,GENERVILLE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11.164.001,32493601200016,SOCIETE D'ELEVEURS DE PORCS DE L'AUDE,GARRIGUE DU BOIS,11120,GINESTAS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
11.170.003,50410830900015,SOMEVAL,RTE DES SALINS CD232 L AYROLLE,11430,GRUISSAN,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.170.07,34907864200023,LA PERLE GRUISSANAISE,BASE CONCHYLICOLE 6 AV DE LA CLAPE TR,11430,GRUISSAN,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
11.186.004,42872726700018,DEVEZE RACHEL YOLANDE,CHEZ GASTON DEPARTEMENTAL 40,11330,LAIRIERE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.191.001,31764612300016,SPOLI RAYMOND DOMINIQUE, ,11330,LAROQUE DE FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.202.002,38519389100053,S H B,CENTRE OSTREICOLE MAS N 20,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.003,44946119300012,EARL ALLARY ET FILS,38 AV JEAN JAURES,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.004,38968548800022,BOURGEAIS PASCAL - LA COQUILLE,ZONE OSTREICOLE MAS N 13,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.006,41021284900021,EARL BONIFACE VINCENT,CENTRE OSTREICOLE NE7ET8,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.017,42924711700014,EARL LES HUITRES DU CAP BLANC,CTRE D'EXPEDITION NE40 PORT LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.022,30556293600024,MOIRE CHRISTIAN JEAN GERMAIN,16 LE GINESTOU,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.023,42123318000015,PERALTA MATHIEU,37 CHE DE LEUCATE,66250,ST LAURENT DE LA SALANQUE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.027,40286533100019,BILOTTE ERIC,MAS CONCHYLICOLE MAS NE6,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.028,35390788400020,GAEC OSTREICOLE LEUCATOISE,CTRE OSTREICOLE DE LEUCATE MAS NE11,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.030,43532137700010,EARL CHEZ JO,CENTRE OSTREICOLE MAS N12,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.033,42307441800017,CASTILLON FRANCK,CTRE OSTREICOLE MAS 32 BP 25,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.035,40502021500027,MAHIEU PHILIPPE JEAN-LUC,CENTRE OSTREICOLE MAS 3 GRAU DE LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.040,41290647100013,MURCIA FRANCOIS,4 RUE RAOUL CALAS,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.051,44017693100010,GAEC ETABLISSEMENTS PAYRE,MAS 17 18 ETANG DE LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.082,48991314500012,CHEA MARTINE,CENTRE OSTREICOLE MAS N 34 GRAU DE LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.083,44077028700017,MURCIA DAVID,CENTRE OSTREICOLE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.084,49067244100014,BOUFFANDEAU SYLVAIN PIERRE JOEL,CENTRE OSTREICOLE MAS 22,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.085,49389285500013,KROOCKMANN JACQUES MARIE NOEL - L'ETAPLOISE,CENTRE OSTREICOLE MAS 19,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.088,48475306600014,SCEA LE MAS BLEU,37 38 GROS DE LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.089,42361688700018,CHEVALIER STEPHANE DENIS,CENTRE OSTREICOLE 4 GRAU LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.202.090,52160160900014,GAEC RECONNU PERALTA - PINET GAULADE,37 CHE DE LEUCATE,66250,ST LAURENT DE LA SALANQUE,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
11.202.091,42924711700014,EARL LES HUITRES DU CAP BLANC,CTRE D'EXPEDITION NE40 PORT LEUCATE,11370,LEUCATE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.203.001,50913618000015,POLE SUD,ZI DES CORBIERES 4 RUE DES ROMAINS,11200,LEZIGNAN CORBIERES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.203.003,31768620200027,SAS MAISON BERTRAND,ZI DE VITRAC RUE ALFRED NOBEL,11200,LEZIGNAN CORBIERES,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,
11.203.009,18110003300024,CHAMBRE DE METIERS ET DE L'ARTISANAT - CENTRE FORMATION APPRENTISSAGE,LA ROUMENGUIERE AV DES GENETS,11200,LEZIGNAN CORBIERES,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
11.203.013,26110007700013,HOPITAL LEZIGNAN,BD PASTEUR,11200,LEZIGNAN CORBIERES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.203.030,39299882900106,EXPRESS MAREE,PLAINE CAUMONT 5 RUE PIERRE DE FERMAT,11200,LEZIGNAN CORBIERES,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.203.100,66202519642873,ELRES - 840 CODE INTERNE,CC LEZIGNAN AV DES GENETS,11200,LEZIGNAN CORBIERES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.206.001,30503629500023,ETS JOSEPH AYMERIC,Z.I. DE FLASSIAN RUE BLERIOT,11300,LIMOUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.206.014,33825313100266,SOC FRANCAISE RESTAURATION SERVICES - SODEXHO FRANCE ECOLES UNIVERSITES,AV ANDRE CHENIER,11300,LIMOUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.206.023,26110008500032,CTRE HOSPITALIER LIMOUX QUILLAN - EHPAD MADELEINE BRES,17 RUE MADELEINE BRES,11300,LIMOUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.226.001,40284692700018,BOSSUT CARINE,LE BOSC,11420,MAYREVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.227.001,40205260900011,GAEC DE CARRUS,DOMAINE DE CARRUS,11220,MAYRONNES,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
11.231.001,39925716100014,GAEC RECONNU DE BERENGOU,BERENGOU,11410,MEZERVILLE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.234.001,30024345800035,ELEVAGE LES MEXICOTS,RTE DE FENDEILLE RTE DE VILLASAVARY,11400,MIREVAL LAURAGAIS,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
11.253.013,79967534300013,JIMENEZ LAURE - LES POULETTES DE LAURETTE,BORDEROUGE,11170,MONTOLIEU,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11.255.001,49067596400020,STEF TRANSPORT NARBONNE,ZI MONTREDON PLAINE RUE DU PONTIL,11100,MONTREDON DES CORBIERES,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.255.002,50382463300013,SEDIFRAIS CORBIERES LOGISTIC - SCL,ZI LA PLAINE II,11100,MONTREDON DES CORBIERES,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.255.004,31215381000196,TRANSPORTS CHABAS SA,ZI LA PLAINE,11100,MONTREDON DES CORBIERES,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.255.005,40751898400023,SARL MERISUD,ZA PLAINE SUD 11 RUE DU VEYRET,11100,MONTREDON DES CORBIERES,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
11.260.002,44869667400010,LAMARLE ODILE,RTE DES CORBIERES,11330,MOUTHOUMET,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.262.001,39918605500014,SOC EXPLOITATION ABATTOIRS DE NARBONNE,62 AV GEN LECLERC,11100,NARBONNE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.262.002,30021990400327,DISTRISUD - DISTRISUD,ZI DE LA COUPE AV DE LA COUPE,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.009,43031029200023,CHEVILLE LANGUEDOCIENNE,ZI CROIX SUD RUE JOSEPH CUGNOT,11100,NARBONNE,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
11.262.010,51408083700461,ITM LOGISTIQUE ALIMENTAIRE INT,PARC D'ACTIVITES DE LA COUPE RUE LAURENT DE LAVOISIER BP 7201,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.012,26110010100011,CENTRE HOSPITALIER DE NARBONNE,BD DR LACROIX BP NO 00824,11100,NARBONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.262.013,39931561300360,METRO CASH & CARRY FRANCE,CROIX SUD COMP ROUT INTERN AV DU FORUM,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
11.262.018,35096266800017,PEDRERO,ZONE INDUS PLAISANCE RUE DU REC DE VEYRET,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.026,39018795300018,STE D EXPLOITATION DES ETS LANGLOIS,ZI PLAISANCE 10 B AV DU CHAMP DE MARS,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.032,26110023400010,CTRE COM ACTION SOCIALE DE NARBONNE - CCAS,HOTEL DE VILLE,11100,NARBONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.262.047,49147640400059,MONTAGNE NOIRE,ZI DE PLAISANCE 6 RUE DE PLAISANCE,11100,NARBONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11.262.051,43500150800017,SOFINO,PARC ACTIV. LA COUPE AV PAUL SABATIER,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.081,44344997000021,FRIGO TRANSPORTS 11,ZI CROIX SUD,11100,NARBONNE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11.262.083,52043319400013,LA DOUZAINE - LA DOUZAINE,19 BD DR FERROUL,11100,NARBONNE,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11.262.101,97695031100010,POLYCLINIQUE LE LANGUEDOC,12 AV DE LA COTE DES ROSES,11100,NARBONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.266.003,44409616800034,JL.MAR,ATELIER N E 5 CRIEE AUX POISSONS,11210,PORT LA NOUVELLE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.266.004,18110001700035,CHAMBRE COMMERCE ET INDUSTRIE NARBONNE - PORT DE PECHE, ,11210,PORT LA NOUVELLE,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,
11.266.005,34207074500043,SARL MICHEAU ET SES ENFANTS,LA CRIEE - ATELIER 4 AV ADOLPHE TUREL,11210,PORT LA NOUVELLE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.266.016,44056281700039,AMBROSINO MAREE,LA CRIEE AV ADOLPHE TURREL,11210,PORT LA NOUVELLE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.266.028,51103079300026,EUROP FISH,LA CRIEE MAGASIN N 3 AV ADOLPHE TURREL,11210,PORT LA NOUVELLE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11.275.001,49019047700011,SARL LAUBERT - SARL LAUBERT,BERNARD MARTY,11410,PAYRA SUR L'HERS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
11.279.002,47718101000828,API RESTAURATION - API RESTAURATION,DOMAINE DE LA CANARDE 3 AV LOUIS OCANA,11610,PENNAUTIER,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.279.107,26110314700029,CENTRE COMMUNAL D'ACTION SOCIALE - EHPAD LES ROMARINS,8 B AV RAYMOND COURRIERE,11610,PENNAUTIER,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11.290.001,32087815000012,GAEC DE CAUDEMIQUE,CAUDEMIQUE,11420,PLAIGNE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
11.290.002,32087815000012,GAEC DE CAUDEMIQUE,CAUDEMIQUE,11420,PLAIGNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
